timestamp,float data,int data,bool data
2022-02-08 14:26:30.746612,0.676194698387895,177,0
2022-02-08 14:26:30.799782,0.32314344718040844,261,0
2022-02-08 14:26:30.852124,0.5886913417486183,294,0
2022-02-08 14:26:30.904036,0.013147146470605331,47,1
2022-02-08 14:26:30.955699,0.7465745735252864,91,0
2022-02-08 14:26:31.007588,0.06114605125282413,113,0
2022-02-08 14:26:31.059074,0.8587628591180486,81,0
2022-02-08 14:26:31.112375,0.4981682427910713,208,0
2022-02-08 14:26:31.164267,0.07154325528299477,254,1
2022-02-08 14:26:31.216195,0.37257321609433625,10,1
2022-02-08 14:26:31.268790,0.5822063426750012,199,1
2022-02-08 14:26:31.322148,0.1431612046349794,45,0
2022-02-08 14:26:31.375929,0.08104757007774166,272,1
2022-02-08 14:26:31.429323,0.6146717231944329,18,0
2022-02-08 14:26:31.481996,0.5951175060091141,322,1
2022-02-08 14:26:31.535411,0.9376915615327454,166,0
2022-02-08 14:26:31.587973,0.4080566385332379,245,1
2022-02-08 14:26:31.641338,0.32322194911595015,105,0
2022-02-08 14:26:31.693804,0.3578604385727162,135,1
2022-02-08 14:26:31.747133,0.40546592429153827,254,1
2022-02-08 14:26:31.800710,0.32453680998476153,246,0
2022-02-08 14:26:31.854214,0.40306130706139787,204,0
2022-02-08 14:26:31.908290,0.6522612867888303,235,0
2022-02-08 14:26:31.961598,0.5138629834527799,110,1
2022-02-08 14:26:32.014253,0.40126092408441816,26,0
2022-02-08 14:26:32.067504,0.6806057411248739,343,0
2022-02-08 14:26:32.119685,0.10046772194787679,98,1
2022-02-08 14:26:32.172981,0.691507754072191,273,1
2022-02-08 14:26:32.225485,0.031590678373739633,15,0
2022-02-08 14:26:32.278843,0.6189036628365917,168,0
2022-02-08 14:26:32.331544,0.08154416861617242,30,1
2022-02-08 14:26:32.385012,0.38232560768514323,1,1
2022-02-08 14:26:32.437550,0.29635671859670976,18,0
2022-02-08 14:26:32.490867,0.707696630883099,337,1
2022-02-08 14:26:32.544250,0.268508748395879,152,1
2022-02-08 14:26:32.599913,0.3726368391047694,247,0
2022-02-08 14:26:32.654393,0.6780955039319031,42,1
2022-02-08 14:26:32.707578,0.26517817989451253,243,0
2022-02-08 14:26:32.761020,0.7338395221496401,186,0
2022-02-08 14:26:32.813711,0.40486062370439,88,0
2022-02-08 14:26:32.867348,0.3207628885553895,318,0
2022-02-08 14:26:32.919994,0.8926366022918648,239,0
2022-02-08 14:26:32.973390,0.6301589561673425,282,1
2022-02-08 14:26:33.026143,0.1280110787605765,49,0
2022-02-08 14:26:33.079529,0.32708852074988326,140,0
2022-02-08 14:26:33.132251,0.30387097458294865,145,0
2022-02-08 14:26:33.185688,0.41914412816203905,201,1
2022-02-08 14:26:33.238876,0.4048865714192982,43,1
2022-02-08 14:26:33.292646,0.6876328873702207,213,1
2022-02-08 14:26:33.345990,0.22658939768642428,285,0
2022-02-08 14:26:33.399838,0.10092232055632466,318,1
2022-02-08 14:26:33.452597,0.08429238040171538,161,1
2022-02-08 14:26:33.505944,0.27350332728419835,48,1
2022-02-08 14:26:33.558404,0.7877136257899499,109,1
2022-02-08 14:26:33.612022,0.6656876739731603,13,0
2022-02-08 14:26:33.666149,0.40540233798180114,228,1
2022-02-08 14:26:33.719657,0.9627426728418798,104,1
2022-02-08 14:26:33.772900,0.7867008720110371,241,1
2022-02-08 14:26:33.826228,0.6916594957035218,293,0
2022-02-08 14:26:33.878802,0.387636563350536,1,1
2022-02-08 14:26:33.932173,0.389124595163736,23,1
2022-02-08 14:26:33.984655,0.692049206963341,308,1
2022-02-08 14:26:34.039987,0.5001294080029375,160,0
2022-02-08 14:26:34.093272,0.19009400095115203,265,0
2022-02-08 14:26:34.145819,0.9359493566167898,133,1
2022-02-08 14:26:34.199061,0.4790047437873344,24,1
2022-02-08 14:26:34.251708,0.6905886203796022,344,1
2022-02-08 14:26:34.305032,0.18793137731066878,158,1
2022-02-08 14:26:34.358735,0.6694219809806279,50,0
2022-02-08 14:26:34.412068,0.924269981445122,187,1
2022-02-08 14:26:34.464907,0.7067653517588474,85,0
2022-02-08 14:26:34.518264,0.4411017895625311,96,1
2022-02-08 14:26:34.571039,0.34065962207379485,189,1
2022-02-08 14:26:34.624558,0.32121944164574157,68,0
2022-02-08 14:26:34.677352,0.5647890522198843,137,1
2022-02-08 14:26:34.731123,0.5701329156319348,119,1
2022-02-08 14:26:34.784237,0.24531547747510696,84,1
2022-02-08 14:26:34.837765,0.457487343555944,348,0
2022-02-08 14:26:34.891519,0.2970493806842214,336,1
2022-02-08 14:26:34.946853,0.8926169231294813,213,1
2022-02-08 14:26:34.999698,0.7942683226974576,353,0
2022-02-08 14:26:35.053223,0.4841859960417271,87,1
2022-02-08 14:26:35.106392,0.6039691194123036,65,1
2022-02-08 14:26:35.159957,0.4414975307107458,0,1
2022-02-08 14:26:35.212518,0.7989765935305339,124,0
2022-02-08 14:26:35.265894,0.6891604973085415,169,0
2022-02-08 14:26:35.318837,0.8531193102869654,209,1
2022-02-08 14:26:35.372420,0.704308863691732,201,1
2022-02-08 14:26:35.425396,0.1815338076727736,40,0
2022-02-08 14:26:35.480513,0.7270070895424061,351,0
2022-02-08 14:26:35.533971,0.04187627409825523,16,0
2022-02-08 14:26:35.586568,0.04793759771607753,207,1
2022-02-08 14:26:35.639859,0.11997495384589374,51,1
2022-02-08 14:26:35.639859,0.11997495384589374,51,1
2022-02-08 14:26:35.692403,0.7745695352504847,64,1
2022-02-08 14:26:35.745751,0.36182353461116235,84,0
2022-02-08 14:26:35.798852,0.18691585149035594,116,1
2022-02-08 14:26:35.852195,0.8728838595300491,116,0
2022-02-08 14:26:35.905812,0.3128178504397764,49,0
2022-02-08 14:26:35.959126,0.16144798330046617,211,0
2022-02-08 14:26:36.011641,0.29374533625701227,341,0
2022-02-08 14:26:36.064928,0.29970376391283027,270,1
2022-02-08 14:26:36.117473,0.16589960447318286,139,0
2022-02-08 14:26:36.170763,0.2656940947151858,60,1
2022-02-08 14:26:36.223787,0.3399988963592909,186,1
2022-02-08 14:26:36.277302,0.47531545658801655,314,0
2022-02-08 14:26:36.329955,0.9692555688022292,207,0
2022-02-08 14:26:36.383268,0.6022406470666746,19,1
2022-02-08 14:26:36.435739,0.8520154043065287,221,0
2022-02-08 14:26:36.489099,0.11763316140697944,360,1
2022-02-08 14:26:36.541696,0.3395189646424488,346,0
2022-02-08 14:26:36.595025,0.15378656002893265,334,0
2022-02-08 14:26:36.647621,0.7419664613110647,329,1
2022-02-08 14:26:36.700955,0.0480036601749434,177,0
2022-02-08 14:26:36.753430,0.4003859498693425,243,1
2022-02-08 14:26:36.806793,0.21297820511570942,115,0
2022-02-08 14:26:36.859958,0.1880908178000016,42,0
2022-02-08 14:26:36.913657,0.1134425544707347,274,1
2022-02-08 14:26:36.966639,0.04593407562188856,74,1
2022-02-08 14:26:37.020464,0.9281876209766239,153,0
2022-02-08 14:26:37.073052,0.5107750477691728,58,1
2022-02-08 14:26:37.126381,0.6806530178533762,336,0
2022-02-08 14:26:37.178859,0.43973339338180994,161,0
2022-02-08 14:26:37.231544,0.6152423927267322,325,1
